id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.1086/210282,10.1086/210282,The Future of Anomie Theory  edited by Nikos Passas and Robert Agnew,John H. Gagnon,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 257-258,The University of Chicago Press,fla,,
10.1086/231117,10.1086/231117,Selling the Air: A Critique of the Policy of Commercial Broadcasting in the United States by Thomas Streeter,William Hoynes,American Journal of Sociology,102,5,1997-03-01T00:00:00Z,pp. 1494-1496,The University of Chicago Press,fla,,
10.2307/2763665,10.2307/2763665,Heredity and Opportunity,Erville B. Woods,American Journal of Sociology,26,2,1920-09-01T00:00:00Z,pp. 146-161,The University of Chicago Press,fla,,
10.1086/231347,10.1086/231347,Immigration and the Family: Research and Policy on U.S. Immigrants  edited by Alan Booth  Ann C. Crouter  and Nancy Landale,Nancy Foner,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1156-1158,The University of Chicago Press,fla,,
10.1086/210274,10.1086/210274,The Myth of Green Marketing: Tending Our Goats at the Edge of Apocalypse by Toby M. Smith,John C. Leggett,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 241-242,The University of Chicago Press,fla,,
10.2307/2777096,10.2307/2777096,The City as a Growth Machine: Toward a Political Economy of Place,Harvey Molotch,American Journal of Sociology,82,2,1976-09-01T00:00:00Z,pp. 309-332,The University of Chicago Press,fla,,"A city and, more generally, any locality, is conceived as the areal expression of the interests of some land-based elite. Such an elite is seen to profit through the increasing intensification of the land use of the area in which its members hold a common interest. An elite competes with other land-based elites in an effort to have growth-inducing resources invested within its own area as opposed to that of another. Governmental authority, at the local and nonlocal levels, is utilized to assist in achieving this growth at the expense of competing localities. Conditions of community life are largely a consequence of the social, econimic, and political forces embodied in this growth machine. The relevance of growth to the interests of various social groups is examined in this context, particularly with reference to the issue of unemployment. Recent social trends in opposition to growth are described and their potential consequences evaluated."
10.1086/231312,10.1086/231312,The New Temperance: The American Obsession with Sin and Vice by David Wagner,John C. Burnham,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1089-1091,The University of Chicago Press,fla,,
10.1086/210313,10.1086/210313,For the Sake of the Children: The Social Organization of Responsibility in the Hospital and the Home by Carol A. Heimer and Lisa R. Staffen,Monica J. Casper,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 317-319,The University of Chicago Press,fla,,
10.1086/210139,10.1086/210139,Nominal  Ordinal  and Narrative Appraisal in Macrocausal Analysis,James Mahoney,American Journal of Sociology,104,4,1999-01-01T00:00:00Z,pp. 1154-96,The University of Chicago Press,fla,,"Macrocausal analysis is often characterized as following only a single strategy of causal inference. In fact, however, at least three different techniques are used: nominal, ordinal, and narrative strategies of causal assessment. Focusing on recent works of comparative history, this article presents an evaluation of the strengths and limitations of each strategy. In addition, it considers the trade‐offs involved in combining two or more strategies. Finally, the article discusses the role of scholarly tastes and skills, the research question, and ongoing research cycles in shaping the methodological approach selected by investigators."
10.2307/2770938,10.2307/2770938,German Reactions to Nazi Atrocities,Morris Janowitz,American Journal of Sociology,52,2,1946-09-01T00:00:00Z,pp. 141-146,The University of Chicago Press,fla,,"Early in the re-education of the German people the military government attempted to develop a sense of collective responsibility for results of National Socialism, especially for atrocities in concentration camps. Detailed interviews indicate that, before the Allied occupation, Germans were aware of the existence and function of concentration camps, although they did not know the details or extent. Almost universally, the individual German projects responsibility upon the Nazi party or the S.S. There is little evidence that exposure to the facts was developing a sense of need for greater personal participation in political life among the traditionally unpolitical."
10.2307/2768268,10.2307/2768268,Industrial Fatigue and Group Morale,Robert E. Park,American Journal of Sociology,40,3,1934-11-01T00:00:00Z,pp. 349-356,The University of Chicago Press,fla,,"Studies in the nature of fatigue led to similar inquiry in regard to monotony and to the question of morale, more specifically industrial morale. What is needed to sustain morale is a body of industrial folkways. The modern factory is not a society. Industrial fatigue and lack of morale are due to some interference or failure to preserve the organic and social balance. What is true with regard to industry applies also to industrial civilization generally. Increasing mobility and industrial expansion have broken up the traditional order and have not permitted the establishing of a new one. The ills of modern industrial civilization are cultural, not political, and are incident to the existing industrial regime."
10.2307/2779326,10.2307/2779326,New-Class and Cumulative Trend Explanations of the Liberal Political Attitudes of Professionals,Steven Brint,American Journal of Sociology,90,1,1984-07-01T00:00:00Z,pp. 30-71,The University of Chicago Press,fla,,"Recent discussions of political divisions in American society have sometimes highlighted the rise of a ""new class"" of salaried professionals and technically trained managers. New-class theorists have depicted these ""knowledge workers"" as engaged in a contest for power and status with traditionally powerful business elites. However, the liberal attitudes of knowledge workers may also be interpreted as the result of a conjunction of several general trends in American society that have had little to do with class antagonisms. According to this paper, even though left-of-center attitudes are not uncommon in the salaried professional categories, these attitudes tend to be more ferormist than antibusiness in character. Such dissent as exists is concentrated in particular occupational, cohort, and sectoral categories and has varied considerably over time. Only the younger specialists in social science and arts-related occupations beging to fit the image of an ""oppositional intelligentsia"" used by the theorists to characterize the new class at large. The data are more consistent with cumulative-trend explanations of upper-white-collar liberalism and dissent. Nevertheless, the consistent net association of the key new-class category, the higher levels of education, with political liberalism leaves room for continued thinking about political cultural conflic within a new-class framework."
10.1086/210295,10.1086/210295,Social Learning and Social Structure: A General Theory of Crime and Deviance by Ronald L. Akers,Michael R. Gottfredson,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 283-284,The University of Chicago Press,fla,,
10.2307/2778146,10.2307/2778146,Community-Elite Influence Structures: Extension of a Network Approach,Edward O. Laumann AND Peter V. Marsden AND Joseph Galaskiewicz,American Journal of Sociology,83,3,1977-11-01T00:00:00Z,pp. 594-631,The University of Chicago Press,fla,,"The conception of community leadership structure as a regularized pattern of communication and exchange of information pertinent to community affairs among members of a community elite, proposed by Laumann and Pappi (1973-1976), is extended in several related direcions. First, the network of regularized communication contact is related to issue-specific discussion patterns and to outcome preference and activation on specific issues. Our anlysis indicates that our measure of the routinized community-affairs discussion network is valid in that it represents a distillation of contact patterns that exist with regard to a variety of specific issues. Moreover, discussion contacts among the elite on routine, instrumental issues are found to be more closely reflected in the regularized network than are such contacts on unique, value-laden consummatory issues. We also find a moderated degree of ""institutionalization"" of contact patterns and support for an instrumentally orientad ""bargaining"" model of issue resolution in two American communities. Cross-community variations in bases of communication contact discussed in the latter part of the paper suggest that such a model may be associated with the use of business/professional ties in an influence structure, while an ""oppositional"" model may be characteristics of communities in which contact patterns are rooted in informal social relations."
10.2307/2778745,10.2307/2778745,On the Microfoundations of Macrosociology,Randall Collins,American Journal of Sociology,86,5,1981-03-01T00:00:00Z,pp. 984-1014,The University of Chicago Press,fla,,"Detailed microsociological studies of everyday life activity raise the challenge of making macrosociological concepts fully empirical by traslating them into aggregates of micro-events. Micro-evidence and theoretical critiques indicate that human cognitive capacity is limited. Hence actor facing complex contingencies rely largely upon tacit assumptions and routine. The routines of physical property and organizational authority are upheld by actors' tacit monitoring of social coalitions. Individuals continuously negotiate such coalitions in chains of interaction rituals in which conversations create symbols of group membership. Every encounter is a marketpace in which individuals tacitly match conversational and emotional resources acquire from previous encounters. Individuals are motivated to move toward those ritual encounters in which their microresources pay the greatest emotional returns until they reach personal equilibrium points at which their emotional returns stabilize or decline. Large-scale changes in social structure are produced by aggregate changes in the three types of microresources: increases in generalized culture due to new communications media or specialized culture-producing activities; new ""techologies"" of emotional production; and new particularized cultures (individual reputations) due to dramatic, usually conflictual, events. A method of macrosampling the distribution of microresources is proposed."
10.2307/2777340,10.2307/2777340,A General Framework for Building Dynamic Macro Social Indicator Models: Including an Analysis of Changes in Crime Rates and Police Expenditures,Kenneth C. Land AND Marcus Felson,American Journal of Sociology,82,3,1976-11-01T00:00:00Z,pp. 565-604,The University of Chicago Press,fla,,"It is generally agreed that social indicators are measures of social conditions. Accordinlgy, recent interest in measuring social conditions and in building models of how various social forces determine changes in social conditions was predated by work of William F. Ogburn and his collaborators over 50 years ago. In this paper, we argue for a revival of analyses of social change based upon time series of indices of social conditions. To provide a general paradigm for this type of analysis, we describe (1) an opportunity-structures theoretical framework for generating specifications of equations of dynamic macro social indicator models, (2) a demographic accounting framework for grounding such equations in population stocks and flows, and (3) a structural equation strategy for estimating and evaluating the resulting models. To illustrate this paradigm, we present analyses of three equation determining changes in the national reported property crime rate, the reported violent crime rate, and the rate of public police expenditures. The equations fit annual 1947-72 time-series data well, yield theoretically meaningful coefficients, and lack demonstrable autocorrelation of disturbances. Moreover, the conditional forecasts of the 1973 values of the reported crime rates fall well within bounds set by the standard errors of the equations."
10.2307/2772189,10.2307/2772189,The Basic Concepts of Sociology,N. S. Timasheff,American Journal of Sociology,58,2,1952-09-01T00:00:00Z,pp. 176-186,The University of Chicago Press,fla,,"In sixteen representative monographs and textbooks in sociology and cultural anthropology published since 1930, despite great confusion in terminology there is agreement on the basic concepts of sociology. Most definitions of ""social interaction,"" ""social relationship,"" ""social group,"" ""social norm,"" ""status,"" ""role,"" ""attitude,"" ""value,"" ""function,"" and ""culture"" may be restated so as to be generally acceptable. Each concept must be critically appraised before being admitted to that uniform conceptual scheme whose attainment would attest the scientific maturity of sociology."
10.2307/2780735,10.2307/2780735,Legal Custody Arrangements and Children's Economic Welfare,Judith A. Seltzer,American Journal of Sociology,96,4,1991-01-01T00:00:00Z,pp. 895-929,The University of Chicago Press,fla,,"This article investigates the effects of legal custody arrangements on the amount of child support fathers pay after divorce, contrasting the experiences of families in which parents share authority over children through jont legal custody and those in which mothers have sole legal custody. It argues that join legal custody encourages similarities between the way divorced fathers and fathers in two-parent households invest in their children. The analysis used data from a representative sample of recent divorces, in which children live with their mothers, to explore the relationship between legal custody and legal child-support obligations (awards) and to investigate the effects of the type of custody on child-support payments. Joint legal custody is associated with higher support awards, but the association is explained by the higher incomes of fathers with joint custody. Legal custody arrangements do not affect levels of child-support payments when family characteristics and the amont of child support awarded at divorce are taken into account. Legal custody does,however, alter the process governing fathers' contributions to child support. Parents' incomes have a larger effect, and child-supprt awards a smaller one, on payments among families with joint legal custody, suggesting that joint legal custody may allow fathers greater discretion about contributions to child support. By stengthening ties between divorced fathers and children, join legal custody may increase the correspondence between parents' and children's socioeconomic status and result in greater inequality among children of divorce."
10.2307/2775344,10.2307/2775344,Protestant Religion and Social Status,Harry C. Dillingham,American Journal of Sociology,70,4,1965-01-01T00:00:00Z,pp. 416-422,The University of Chicago Press,fla,,"Several studies show that members of Protestant denominations have higher status than persons who are not members of any denomination. Several studies also show that mean denominational status is negatively related to mean denominational church attendance rates. At the same time-within each denomination-status is positively related to attendance rates. These opposed relationships tend to cancel, producing a net relationship that approaches zero. Several sources of variance in social status and church attendance rates are reported."
10.1086/426554,10.1086/426554,Dynamic Parties and Social Turnout: An Agent-Based Model,James H. Fowler AND Oleg Smirnov,American Journal of Sociology,110,4,2005-01-01T00:00:00Z,pp. 1070-1094,The University of Chicago Press,fla,,"The authors develop an agent‐based model of dynamic parties with social turnout built upon developments in different fields within social science. This model yields significant turnout, divergent platforms, and numerous results consistent with the rational calculus of voting model and the empirical literature on social turnout. In a simplified version of the model, the authors show how a local imitation structure inherently yields dynamics that encourage positive turnout. The model also generates new hypotheses about the importance of social networks and citizen‐party interactions."
10.1086/231108,10.1086/231108,Evangelism and Apostasy: The Evolution and Impact of Evangelicals in Modern Mexico by Kurt Bowen,Elizabeth E. Brusco,American Journal of Sociology,102,5,1997-03-01T00:00:00Z,pp. 1478-1480,The University of Chicago Press,fla,,
10.1086/210287,10.1086/210287,The Politics of Downtown Development: Dynamic Political Cultures in San Francisco and Washington  D.C. by Stephen J. McGovern,Dingxin Zhao,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 266-268,The University of Chicago Press,fla,,
10.1086/231321,10.1086/231321,Interaction and Grammar  edited by Elinor Ochs  Emanuel A. Schegloff  and Sandra A. Thompson,Allen D. Grimshaw,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1106-1108,The University of Chicago Press,fla,,
10.2307/2775104,10.2307/2775104,Community Structure and Acceptance of Psychiatric Aid,Edna E. Raphael,American Journal of Sociology,69,4,1964-01-01T00:00:00Z,pp. 340-358,The University of Chicago Press,fla,,Ecological distribution of cases examined at a child guidance clinic is atypical when compared to distribution of indexes of personal and social dis organization. The hypothesis that this distribution is related to diffusion of psychological and psychiatric explanations of conduct is sustained when variation in rates among areas is observed to correspond closely with indicators of community acceptance of psychological and psychiatric explanations. The defining role of professional workers is important in the diffusion.
10.1086/595941,10.1086/595941,Cumulative Gender Disadvantage in Contract Employment,Isabel Fernandez-Mateo,American Journal of Sociology,114,4,2009-01-01T00:00:00Z,pp. 871-923,The University of Chicago Press,fla,,"Women’s wages do not grow with experience or tenure as much as men’s do. Many accounts of this cumulative gender disadvantage attribute it to women’s underinvestment in firm‐specific skills. Yet if that were true, this disadvantage would not exist where firm‐specific skills are not rewarded by the labor market. This article investigates this argument in the context of contract employment, where demand for firm specificity is minimal. Contrary to expectations, men still receive higher rewards than women over time. Drawing on quantitative evidence and qualitative fieldwork using job histories of high‐skill contractors affiliated with a staffing firm, the author finds support for two sources of women’s disadvantage: lower rates of movement across clients on the supply side and unmeasured demand‐side factors by which similar levels of tenure and client transitions accrue lower rewards to women. Implications for research on gender stratification and career advancement in nonformalized labor markets are discussed."
10.2307/2777596,10.2307/2777596,Social Structure from Multiple Networks. I. Blockmodels of Roles and Positions,Harrison C. White AND Scott A. Boorman AND Ronald L. Breiger,American Journal of Sociology,81,4,1976-01-01T00:00:00Z,pp. 730-780,The University of Chicago Press,fla,,"Networks of several distinct types of social tie are aggregated by a dual model that partitions a population while simultaneously identifying patterns of relations. Concepts and algorithms are demonstrated in five case studies involving up to 100 persons and up to eight types of tie, over as many as 15 time periods. In each case the model identifies a concrete social structure. Role and position concepts are then identified and interpreted in terms of these new models of concrete social structure. Part II, to be published in the May issue of this Journal (Boorman and White 1976), will show how the operational meaning of role structures in small populations can be generated from the sociometric blockmodels of Part I."
10.1086/231343,10.1086/231343,Homicide  Race  and Justice in the American West  1880-920 by Clare V. McKanna  Jr.,Richard Block,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1149-1150,The University of Chicago Press,fla,,
10.1086/231135,10.1086/231135,Detraditionalization: Critical Reflections on Authority and Identity edited by Paul Heelas  Scott Lash  and Paul Morris,David Ingram,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1727-1729,The University of Chicago Press,fla,,
10.1086/231332,10.1086/231332,When Work Disappears: The World of the New Urban Poor by William Julius Wilson,Joe R. Feagin,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1129-1130,The University of Chicago Press,fla,,
10.1086/595943,10.1086/595943,Changing Patterns of Income Inequality in U.S. Counties  1970–2000,Stephanie Moller AND Arthur S. Alderson AND François Nielsen,American Journal of Sociology,114,4,2009-01-01T00:00:00Z,pp. 1037-1101,The University of Chicago Press,fla,,"The upswing in economic inequality that has affected a number of advanced industrial societies in the late 20th century has been particularly conspicuous in the United States. The authors explore its causes using data on the distribution of family income in 3,098 U.S. counties in 1970, 1980, 1990, and 2000. The authors build a model of within‐county income inequality that assumes that distribution processes involving labor market and sociodemographic variables operate primarily at the county level and those involving the political and institutional context operate primarily at the state level. Multilevel methods are used to distinguish county cross‐sectional, state cross‐sectional, and longitudinal effects on inequality. The authors find that, when features of the state‐level institutional and political context are associated with inequality, these effects are larger longitudinally than cross‐sectionally. A range of other factors, including economic development, labor force changes, shifts in the racial/ethnic and gender composition of the labor force, educational expansion, and urbanization are found to have comparatively large effects, both longitudinally and cross‐sectionally."
10.2307/2770749,10.2307/2770749,The Nature and the Modes of Personality Interpretations,Gustav Ichheiser,American Journal of Sociology,55,2,1949-09-01T00:00:00Z,pp. 18-25,The University of Chicago Press,fla,,
10.1086/231136,10.1086/231136,Democracy's Discontent: America in Search of a Public Philosophy by Michael J. Sandel,Steven Tipton,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1729-1733,The University of Chicago Press,fla,,
10.1086/231302,10.1086/231302,The Social Construction of Nature: A Sociology of Ecological Enlightenment by Klaus Eder,Steven Ney,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1071-1073,The University of Chicago Press,fla,,
10.2307/2781147,10.2307/2781147,Why Strict Churches Are Strong,Laurence R. Iannaccone,American Journal of Sociology,99,5,1994-03-01T00:00:00Z,pp. 1180-1211,The University of Chicago Press,fla,,"The strength of strict churches is neither a historical coicidence nor a statiscal artifact. Strictness makes organizations stronger an more attractive because it reduces free riding. It screens out members who lack commitment and and stimulates participation among those who remain. Rational choice theory thus explains the success of sect, cults, and conservative denominations without recourse to assumptions of irrationality, abnormality, or misinformation. The theory also predicts differences between strict and lenient groups, distinguishes between effective and counterproductive demands, and demonstrates the need to adapt strict demands in response to social change."
10.1086/421787,10.1086/421787,Structural Holes and Good Ideas,RonaldS. Burt,American Journal of Sociology,110,2,2004-09-01T00:00:00Z,pp. 349-399,The University of Chicago Press,fla,,"This article outlines the mechanism by which brokerage provides social capital. Opinion and behavior are more homogeneous within than between groups, so people connected across groups are more familiar with alternative ways of thinking and behaving. Brokerage across the structural holes between groups provides a vision of options otherwise unseen, which is the mechanism by which brokerage becomes social capital. I review evidence consistent with the hypothesis, then look at the networks around managers in a large American electronics company. The organization is rife with structural holes, and brokerage has its expected correlates. Compensation, positive performance evaluations, promotions, and good ideas are disproportionately in the hands of people whose networks span structural holes. The between‐group brokers are more likely to express ideas, less likely to have ideas dismissed, and more likely to have ideas evaluated as valuable. I close with implications for creativity and structural change."
10.2307/2776497,10.2307/2776497,A Note on the Rapid Rise of Mass Bengali Nationalism in East Pakistan,Howard Schuman,American Journal of Sociology,78,2,1972-09-01T00:00:00Z,pp. 290-298,The University of Chicago Press,fla,,The social and economic conditions for the emergence of East Pakistan as a district nation (Bangladesh) go back almost to 1947 when Pakistan itself was created. Did a sense of separate Bengali political identity likewise exist at the level of mass consciousness long before the open military repression of 1971? This note takes advantage of a survey datum gathered in 1964 to provide a clue that the answer is: no.
10.1086/522806,10.1086/522806,The Institutional Logic of Union Organizing and the Effectiveness of Social Movement Repertoires,Andrew W. Martin,American Journal of Sociology,113,4,2008-01-01T00:00:00Z,pp. 1067-1103,The University of Chicago Press,fla,,"Despite the growing interest in union organizing, there has been little effort to systematically describe the organizing landscape in America today. Institutionalization, which is an increasingly important concept in social movement theory, provides the framework for differentiating between the two major organizing repertoires presently available to unions: the traditional National Labor Relations Board (NLRB) certification election and more recent organizing that avoids the election process. Evidence from a sample of 70 large local unions from 1990 to 2001 reveals that, although the certification election continues to be the preferred method of membership recruitment, non‐NLRB organizing appears to be more effective, in terms of both victory rate and number of workers organized. The findings have implications for future research on labor unions and represent an important step toward an empirical understanding of processes of institutionalization within social movements generally."
10.2307/2773688,10.2307/2773688,New Developments in Audience Research Methods,William A. Belson,American Journal of Sociology,64,2,1958-09-01T00:00:00Z,pp. 174-179,The University of Chicago Press,fla,,"Two new methods of research are described. (1) Planning studies: The development of a broadcast often requires prior information about the people for whom it is being prepared. This information has to be collected quickly and inexpensively, and very frequently it requires highly controlled conditions of extraction. Group testing methods are used, but they are geared to procedures which tend to eliminate such bias as is usually associated with the recruitment of test-room groups of the general public. (2) Measuring effects: The second technique described is a new process for measuring the effect of a television (or radio) broadcast. Exposure to the broadcast is in to way controlled or stimulated, and the effect as measured tends to be independent of experimental influences. Each of the two methods here described is usable in fields other than broadcasting (e.g., in social campaigning, in propaganda, in advertising)."
10.1086/345649,10.1086/345649,Culture  Cohorts  and Social Organization Theory: Understanding Local Participation in a Latino Housing Project,Mario Luis Small,American Journal of Sociology,108,1,2002-07-01T00:00:00Z,pp. 1-54,The University of Chicago Press,fla,,"Recent work on neighborhood effects has rekindled interest in social organization theory and its relationship to local social capital. This article addresses several gaps in our knowledge about the mechanisms linking structural conditions to social (dis)organization and the role of culture in this process. Relying on the case of a predominantly Puerto Rican housing project in Boston, it investigates changes in one aspect of social organization—participation in local community activities—suggesting the theory should incorporate the role of cohorts and cultural frames and rethink the relationship among structure, culture, and change."
10.1086/231314,10.1086/231314,The Abolition of Feudalism: Peasants  Lords  and Legislators in the French Revolution by John Markoff,David Zaret,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1094-1095,The University of Chicago Press,fla,,
10.1086/231097,10.1086/231097,Sugar Island Slavery in the Age of Enlightenment: The Political Economy of the Caribbean World by Arthur L. Stinchcombe,Dale Tomich,American Journal of Sociology,102,5,1997-03-01T00:00:00Z,pp. 1456-1458,The University of Chicago Press,fla,,
10.1086/664542,10.1086/664542,Bright Futures in Malawi's New Dawn: Educational Aspirations as Assertions of Identity,Margaret Frye,American Journal of Sociology,117,6,2012-05-01T00:00:00Z,pp. 1565-1624,The University of Chicago Press,fla,,"Imagined futures, once a vital topic of theoretical inquiry within the sociology of culture, have been sidelined in recent decades. Rational choice models cannot explain the seemingly irrational optimism of youth aspirations, pointing to the need to explore other alternatives. This article incorporates insights from pragmatist theory and cognitive sociology to examine the relationship between imagined futures and present actions and experiences in rural Malawi, where future optimism appears particularly unfounded. Drawing from in-depth interviews and archival sources documenting ideological campaigns promoting schooling, the author shows that four elements are understood to jointly produce educational success: ambitious career goals, sustained effort, unflagging optimism, and resistance to temptation. Aspirations should be interpreted not as rational calculations, but instead as assertions of a virtuous identity, claims to be “one who aspires.”"
10.1086/210296,10.1086/210296,Ethnography at the Edge: Crime  Deviance  and Field Research  edited by Jeff Ferrell and Mark S. Hamm,Sudhir Venkatesh,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 284-286,The University of Chicago Press,fla,,
10.1086/321298,10.1086/321298,The Evolution of Norms,Jonathan Bendor AND Piotr Swistak,American Journal of Sociology,106,6,2001-05-01T00:00:00Z,pp. 1493-1545,The University of Chicago Press,fla,,Social norms that induce us to reward or punish people not for what they did to us but for what they did to other members of one’s group have long been thought as sine qua non sociological and thus impossible to explain in terms of rational choice. This article shows how social norms can be deductively derived from principles of (boundedly) rational choice as mechanisms that are necessary to stabilize behaviors in a large class of evolutionary games.
